query,response_before,response_after
"Summarize the following conversation: #Person1#: Good afternoon doctor. #Person2#: Good afternoon, Mrs. Brown. Wow, what's wrong with this little boy? #Person1#: He is my son Jim. He's gotta cough. #Person2#: How long has he been like this? #Person1#: Ever since last night. #Person2#: Has he had anything to eat today? #Person1#: Yes, he had a little milk and an egg this morning. #Person2#: Well, Mrs. Brown. I think he's caught a cold. #Person1#: Is it serious? #Person2#: No, it's nothing serious, but he better stay at home and rest. #Person1#: Thank you very much. #Person2#: You're welcome. Summary:",<pad> Jim's cough is always suspected.</s>,<pad> The little boy is doing OK today.</s>
"Summarize the following conversation: #Person1#: Let me tell you what happened to my homework. #Person2#: OK, go ahead--what is the excuse THIS time? #Person1#: Actually, I did it, but then it got lost. #Person2#: Could you have gotten it done at another time? #Person1#: Yes, I could. #Person2#: You have never missed an assignment before--when will you be making this one up? #Person1#: I'll make it up early next week. #Person2#: That would work, but don't let it happen again. #Person1#: I'll try. #Person2#: That will solve it then. Let's work hard to not let it happen again. Summary:","<pad> #Person1: I skipped my homework. #Person2: Well, it turned out to be lost. Sorry, I didn't get it done, did, but it wasn't done at a certain time. I might come up with a solution to theproblem next week.</s>",<pad> Problem solved. Learn who or do it to make up.</s>
"Summarize the following conversation: #Person1#: Anything else? #Person2#: Yes, one last thing. How much holiday time do you give your employees every year? #Person1#: Our employees receive fifteen days of paid vacation every year. If you don't use the full fifteen days, they carry over to the following year. #Person2#: How about sick days? #Person1#: You get five paid sick days. #Person2#: Any other benefits? #Person1#: Yes, we have an excellent retirement plan and medical insurance as well. #Person2#: Great. Thanks so much for your time. #Person1#: We'll contact you soon, Ted. Thanks for coming in. Summary:",<pad> Employees receive allowance of $50 a week. Employees should also be reimbursed 1 extra day of vacation per year.</s>,<pad> She spoke about their benefits.</s>
"Summarize the following conversation: #Person1#: I heard there is a big yard sale at weeks this saturday morning, i will go there to see if there is some nice clothes, do you want to go with me? #Person2#: Well, i want to go to the university flea market, they got times of books, DVDs, and a lot of nice clothing, too. #Person1#: How about we go to the yard sale first and then to the university flea market? #Person2#: Good idea, let's shop to we drop! Summary:",<pad> The yard sale on Saturday morning is at 7 am.</s>,"<pad> Whole8% every time we see what brands we liked and dislike, a liird dressing board beatsThemis!</s>"
"Summarize the following conversation: #Person1#: Now tell me, what's your problem? #Person2#: I don't feel like eating. And I cannot sleep well. #Person1#: Do you have a fever? #Person2#: Yes, a low fever. I feel terrible. Am I dying? #Person1#: Certainly not. Take one of these white pills three times a day. #Person2#: Before the meals or after the meals? #Person1#: After the meals. And do not forget to take two sleeping pills before going to bed. Summary:",<pad> When does trouble start; how does it get better?</s>,"<pad> Practice taking these drugs, which work like a friendly, friendly drug.</s>"
"Summarize the following conversation: #Person1#: Thank God! I am finished writing that service guide! It took me forever! #Person2#: When did you finish? #Person1#: This morning! No more overtime, and no more headaches! #Person2#: Well, I ' m glad to hear it. Have a cup of coffee! Summary:",<pad> The service guide will be finished now.</s>,<pad> Paul studied to complete the service guide and learned about life at the recession.</s>
"Summarize the following conversation: #Person1#: This apartment is great, but could I upgrade a few things? #Person2#: What are you unhappy with? #Person1#: I want to have a different color carpet. #Person2#: If you agree to pay more money, you could upgrade the carpet. #Person1#: Would it cost a lot more? #Person2#: It could be as little as 2 dollars or as much as 10 dollars more per square yard. #Person1#: I was also wondering if it would be possible to pick a different paint color. #Person2#: Bring me a paint sample to look at, and I will consider it. #Person1#: When can you finish with the new carpet and paint? #Person2#: Your new apartment can be recarpeted and repainted by next Tuesday. Summary:","<pad> Your carpet and paint may be installed by a professional. If your carpet is indoors, the house must be thoroughly cleaned annually.</s>","<pad> #Posk #1: The paint color is the best. #Person1#: If it's so, you can even dye it any color.</s>"
"Summarize the following conversation: #Person1#: Good morning! Can I help you? #Person2#: Yes, let me see some of your hats, please. #Person1#: OK, come this way, please. How does this one fit you? #Person2#: It's a little bit tight. #Person1#: Let me stretch it for you. How is that now? #Person2#: Yes, it fits all right now. I'll take it. Please put it in a bag and I'll take along. #Person1#: OK. Here you are. #Person2#: How much is it? #Person1#: Thirty-five yuan. #Person2#: Here is the money. #Person1#: Thanks. Nothing else, today? #Person2#: Nothing else, thank you. Summary:","<pad> Your company is doing all the ironing. Should you need anything else, let me know.</s>",<pad> Lei Xing.</s>
"Summarize the following conversation: #Person1#: Here comes the Sunday newspaper again. #Person2#: Can I have the sports section? #Person1#: Sure, here you are. #Person2#: Let me check if there's anything exciting next week? #Person1#: You mean football matches, do you? #Person2#: Yes. Here it is! There will be a great football match on Monday at the City stadium. #Person1#: So you'll go and watch it. #Person2#: Of course. But do you think they will cancel the football match if it rains on Monday? #Person1#: I think they will. #Person2#: If they do cancel it, will they have it on Wednesday? #Person1#: I really can't tell. #Person2#: I want to make sure about it because I will be out of town on Wednesday. I really can't miss the game. #Person1#: Why don't you check the weather on the internet? #Person2#: Good idea. I'll do it right now. Summary:",<pad> Every Friday and Saturday in the other newspaper is a football match.</s>,"<pad> The football match will be fixed on Monday, so everyone will be there to watch it.</s>"
"Summarize the following conversation: #Person1#: I wish I knew who had moved our flower pots. #Person2#: It was me. I am so sorry. #Person1#: What did you think you were doing? #Person2#: I had to move it, so that I can get my bike through. #Person1#: How dare you be so inconsiderate? That's wrong. #Person2#: I am awfully sorry. I didn't think you would mind so much. #Person1#: Never do that again. #Person2#: I promise. Summary:",<pad> The person was able to leave the flower pots for the child but the gardener decided to move them altogether. They apologized and shared their feelings.</s>,<pad> What was beebie to them?</s>
